keyword,sentence
요구,미서가 너무 당당하게 요구하는 바람에 수림이는 당황했어.
요청,경찰 아저씨들 말고 다른 사람들에게 도움을 요청하는 게 좋을 것 같았어.
인정,대부분 부모님들이 인정 안 하려 들죠.
인정,실수를 인정한다는 거여서 더더욱 정나미가 떨어졌어.
자료,증거 자료가 있어야 아저씨 누명을 벗길 수 있다며 절대 비밀로 할 거라고 했어.
접수,서준이가 접수했다고 한쪽 눈을 찡긋했어.
주의,선생님이 따끔하게 주의를 주었어.
주의,그 일이 있고 나서 아빠는 은중이가 어디를 갈 때마다 주의를 주었어.
증거,증거 자료가 있어야 아저씨 누명을 벗길 수 있다며 절대 비밀로 할 거라고 했어.
차단,자기 친척이 오는데 차단기를 빨리 열어 주지 않았다고
체험,체험학습 갈 때는 선생님을 졸라 같은 자리에 앉았지.
체험,체험학습이야 어떻든 수아랑 같이 있어서 좋았어.
체험,애들과 체험학습을 갔는데 놀이공원 관리하는 분이 다짜고짜 막 반말을 하더라.
추리,이리저리 추리해 보던 한나는 통장 아주머니한테 갔어.
평가,며칠 후 수학 단원평가를 보는 시간이었어.
평가,수림이가 수학 단원평가를 보고 나서 물을 마시러 급식실 쪽으로 가고 있었거든?
포기,"포기할 줄 알았는데, 단우는 진드기처럼 또 따라붙었어."
포기,올해는 가족 여행을 건너뛸까 했는데 1년에 딱 한 번 가는 여행을 포기하기 아쉽다는 엄마 말에 아빠도 고개를 끄덕였어.
포기,포기하고 가려는데 미서가 헐레벌떡 달려왔어.
포기,하지만 포기하지 않고 찾아볼 거야.
표현,유찬이는 불만이 있어도 겉으로 잘 표현하지 않는 성격이야.
표현,엄만 네가 그동안 표현을 안 해서 괜찮은 줄 알았어.
학습,바로 은중이 학습 계획표 짜는 일 이었어.
학습,과도한 학습 때문에 스트레스를 받으면 여기가 부풀어 오르는 증상을 말해요.
학습,체험학습 갈 때는 선생님을 졸라 같은 자리에 앉았지.
학습,체험학습이야 어떻든 수아랑 같이 있어서 좋았어.
학습,애들과 체험학습을 갔는데 놀이공원 관리하는 분이 다짜고짜 막 반말을 하더라.
활용,재활용 분리수거장 쪽으로 걸어가는데 두런두런 말소리가 났어.
활용,한나는 직접 나설 수 없는 처지라 재활용 분리수거장에 숨어서 지켜보았어.

